account_number;period;tariff;charged_amount;paid_amount;balance;last_payment_date;inn;phone;status
ЛС-542555989;2025-10;Бизнес-100;3519.32;3519.32;0.0;2025-10-20;3000534749;+7(909)541-33-42;active
ЛС-542555989;2025-11;Бизнес-100;3707.71;1156.15;-2551.56;2025-11-21;3000534749;+7(909)541-33-42;active
ЛС-542555989;2025-12;Бизнес-100;3995.48;3995.48;-2551.56;2025-12-20;3000534749;+7(909)541-33-42;active
ЛС-545343961;2025-10;Бизнес-100;4417.17;4417.17;0.0;2025-10-01;3000534749;89095413342;active
ЛС-545343961;2025-11;Бизнес-100;3236.41;3236.41;0.0;2025-11-26;3000534749;89095413342;active
ЛС-545343961;2025-12;Бизнес-100;3235.85;3235.85;0.0;2025-12-26;3000534749;89095413342;active
ЛС-541291093;2025-10;Бизнес-100;4997.97;4997.97;0.0;2025-10-11;3000534749;+7 909 541 33 42;suspended
ЛС-541291093;2025-11;Бизнес-100;3699.3;3699.3;0.0;2025-11-07;3000534749;+7 909 541 33 42;suspended
ЛС-541291093;2025-12;Бизнес-100;3022.59;3022.59;0.0;2025-12-10;3000534749;+7 909 541 33 42;suspended
ЛС-776679984;2025-10;Корпоративный;36852.93;36852.93;0.0;2025-10-17;3777079334;7960152-52-11;closed
ЛС-776679984;2025-11;Корпоративный;33249.9;33249.9;0.0;2025-11-04;3777079334;7960152-52-11;closed
ЛС-776679984;2025-12;Корпоративный;35287.54;35287.54;0.0;2025-12-24;3777079334;7960152-52-11;closed
ЛС-660136749;2025-10;Бизнес-100;4137.84;4137.84;0.0;2025-10-27;3015720185;+7(961)252-90-61;active
ЛС-660136749;2025-11;Бизнес-100;3351.26;3351.26;0.0;2025-11-11;3015720185;+7(961)252-90-61;active
ЛС-660136749;2025-12;Бизнес-100;4844.56;4844.56;0.0;2025-12-16;3015720185;+7(961)252-90-61;active
ЛС-662617647;2025-10;Бизнес-100;4594.51;4594.51;0.0;2025-10-16;3015720185;+7(961)252-90-61;active
ЛС-662617647;2025-11;Бизнес-100;3310.77;3310.77;0.0;2025-11-28;3015720185;+7(961)252-90-61;active
ЛС-662617647;2025-12;Бизнес-100;4073.94;4073.94;0.0;2025-12-26;3015720185;+7(961)252-90-61;active
ЛС-778373543;2025-10;Корпоративный;38916.85;13191.47;-25725.38;2025-10-22;6342408916;7925990-90-91;active
ЛС-778373543;2025-11;Корпоративный;29732.54;29732.54;-25725.38;2025-11-07;6342408916;7925990-90-91;active
ЛС-778373543;2025-12;Корпоративный;33660.96;33660.96;-25725.38;2025-12-26;6342408916;7925990-90-91;active
ЛС-779627365;2025-10;Корпоративный;25993.2;5289.39;-20703.81;2025-10-13;6342408916;7925990-90-91;active
ЛС-779627365;2025-11;Корпоративный;34397.66;34397.66;-20703.81;2025-11-19;6342408916;7925990-90-91;active
ЛС-779627365;2025-12;Корпоративный;34085.34;0.0;-54789.15;2025-05-23;6342408916;7925990-90-91;active
ЛС-772717272;2025-10;Корпоративный;37867.29;37867.29;0.0;2025-10-09;6342408916;+7(925)990-90-91;active
ЛС-772717272;2025-11;Корпоративный;31208.04;31208.04;0.0;2025-11-08;6342408916;+7(925)990-90-91;active
ЛС-772717272;2025-12;Корпоративный;30573.75;30573.75;0.0;2025-12-10;6342408916;+7(925)990-90-91;active
ЛС-772397240;2025-10;Корпоративный;32876.51;737.65;-32138.86;2025-10-07;6342408916;89259909091;active
ЛС-772397240;2025-11;Корпоративный;38700.31;38700.31;-32138.86;2025-11-01;6342408916;89259909091;active
ЛС-772397240;2025-12;Корпоративный;36985.38;36985.38;-32138.86;2025-12-05;6342408916;89259909091;active
ЛС-774226931;2025-10;Корпоративный;27853.18;27853.18;0.0;2025-10-24;6342408916;+7(925)990-90-91;suspended
ЛС-774226931;2025-11;Корпоративный;38108.19;38108.19;0.0;2025-11-11;6342408916;+7(925)990-90-91;suspended
ЛС-774226931;2025-12;Корпоративный;27149.43;27149.43;0.0;2025-12-27;6342408916;+7(925)990-90-91;suspended
ЛС-669332844;2025-10;Игровой;1891.14;1891.14;0.0;2025-10-05;839238520232;+7(903)689-22-42;active
ЛС-669332844;2025-11;Игровой;1502.59;1802.99;300.4;2025-11-28;839238520232;+7(903)689-22-42;active
ЛС-669332844;2025-12;Игровой;1661.17;2436.68;1075.91;2025-12-22;839238520232;+7(903)689-22-42;active
ЛС-614559376;2025-10;Домашний-100;719.62;719.62;0.0;2025-10-11;553372201091;+7(910)210-67-26;active
ЛС-614559376;2025-11;Домашний-100;643.38;813.93;170.55;2025-11-22;553372201091;+7(910)210-67-26;active
ЛС-614559376;2025-12;Домашний-100;699.11;965.93;437.37;2025-12-21;553372201091;+7(910)210-67-26;active
ЛС-544857142;2025-10;Корпоративный+;76764.07;76764.07;0.0;2025-10-07;2570184094;+7(916)428-35-34;active
ЛС-544857142;2025-11;Корпоративный+;58597.02;58597.02;0.0;2025-11-25;2570184094;+7(916)428-35-34;active
ЛС-544857142;2025-12;Корпоративный+;63233.47;0.0;-63233.47;;2570184094;+7(916)428-35-34;active
ЛС-542410988;2025-10;Корпоративный+;50457.7;50457.7;0.0;2025-10-17;2570184094;+7(916)428-35-34;active
ЛС-542410988;2025-11;Корпоративный+;53071.26;53071.26;0.0;2025-11-18;2570184094;+7(916)428-35-34;active
ЛС-542410988;2025-12;Корпоративный+;59554.55;10121.93;-49432.62;2025-12-08;2570184094;+7(916)428-35-34;active
ЛС-541385854;2025-10;Корпоративный+;55138.25;55138.25;0.0;2025-10-11;2570184094;+7(916)428-35-34;active
ЛС-541385854;2025-11;Корпоративный+;66217.31;0.0;-66217.31;2025-01-04;2570184094;+7(916)428-35-34;active
ЛС-541385854;2025-12;Корпоративный+;61507.99;26005.98;-101719.32;2025-12-19;2570184094;+7(916)428-35-34;active
ЛС-548839774;2025-10;Бизнес-500;10517.88;10517.88;0.0;2025-10-15;7422971252;+7(961)752-67-95;active
ЛС-548839774;2025-11;Бизнес-500;10465.26;10465.26;0.0;2025-11-27;7422971252;+7(961)752-67-95;active
ЛС-548839774;2025-12;Бизнес-500;8792.59;8792.59;0.0;2025-12-26;7422971252;+7(961)752-67-95;active
ЛС-771019753;2025-10;Игровой;1666.74;1666.74;0.0;2025-10-25;389666053428;+7(906)486-42-42;active
ЛС-771019753;2025-11;Игровой;1782.21;1782.21;0.0;2025-11-03;389666053428;+7(906)486-42-42;active
ЛС-771019753;2025-12;Игровой;1806.43;1806.43;0.0;2025-12-15;389666053428;+7(906)486-42-42;active
ЛС-668925832;2025-10;Корпоративный+;52917.89;52917.89;0.0;2025-10-21;1556613906;+7(905)412-77-15;active
ЛС-668925832;2025-11;Корпоративный+;71306.48;71306.48;0.0;2025-11-08;1556613906;+7(905)412-77-15;active
ЛС-668925832;2025-12;Корпоративный+;78423.45;12142.43;-66281.02;2025-12-12;1556613906;+7(905)412-77-15;active
ЛС-660679981;2025-10;Корпоративный+;55500.59;55500.59;0.0;2025-10-11;1556613906;7905412-77-15;active
ЛС-660679981;2025-11;Корпоративный+;73663.36;73663.36;0.0;2025-11-15;1556613906;7905412-77-15;active
ЛС-660679981;2025-12;Корпоративный+;64625.2;0.0;-64625.2;;1556613906;7905412-77-15;active
ЛС-663646225;2025-10;Корпоративный+;75372.99;75372.99;0.0;2025-10-12;1556613906;+7(905)412-77-15;active
ЛС-663646225;2025-11;Корпоративный+;68133.21;0.0;-68133.21;2025-02-11;1556613906;+7(905)412-77-15;active
ЛС-663646225;2025-12;Корпоративный+;66684.5;18443.93;-116373.78;2025-12-19;1556613906;+7(905)412-77-15;active
ЛС-777749050;2025-10;Бизнес-500;9653.77;9653.77;0.0;2025-10-18;8150416591;+7(950)257-13-20;active
ЛС-777749050;2025-11;Бизнес-500;8636.08;8636.08;0.0;2025-11-03;8150416591;+7(950)257-13-20;active
ЛС-777749050;2025-12;Бизнес-500;9362.86;9362.86;0.0;2025-12-19;8150416591;+7(950)257-13-20;active
ЛС-779759230;2025-10;Бизнес-500;9724.59;9724.59;0.0;2025-10-19;8150416591;+7(950)257-13-20;active
ЛС-779759230;2025-11;Бизнес-500;11149.31;11149.31;0.0;2025-11-08;8150416591;+7(950)257-13-20;active
ЛС-779759230;2025-12;Бизнес-500;8692.34;8692.34;0.0;2025-12-24;8150416591;+7(950)257-13-20;active
ЛС-774501896;2025-10;Бизнес-500;11723.45;11723.45;0.0;2025-10-16;8150416591;+7(950)257-13-20;suspended
ЛС-774501896;2025-11;Бизнес-500;8457.29;8457.29;0.0;2025-11-11;8150416591;+7(950)257-13-20;suspended
ЛС-774501896;2025-12;Бизнес-500;10220.35;10220.35;0.0;2025-12-06;8150416591;+7(950)257-13-20;suspended
ЛС-771642361;2025-10;Бизнес-500;9232.14;9232.14;0.0;2025-10-20;8150416591;+7(950)257-13-20;active
ЛС-771642361;2025-11;Бизнес-500;8434.98;8434.98;0.0;2025-11-25;8150416591;+7(950)257-13-20;active
ЛС-771642361;2025-12;Бизнес-500;11279.46;11279.46;0.0;2025-12-21;8150416591;+7(950)257-13-20;active
ЛС-774713727;2025-10;Домашний-100;682.03;363.08;-318.95;2025-10-25;502369362689;+7(925)315-10-18;active
ЛС-774713727;2025-11;Домашний-100;677.23;732.69;-263.49;2025-11-05;502369362689;+7(925)315-10-18;active
ЛС-774713727;2025-12;Домашний-100;640.59;640.59;-263.49;2025-12-20;502369362689;+7(925)315-10-18;active
ЛС-169626335;2025-10;Домашний-100;665.59;126.43;-539.16;2025-10-19;537685507896;+7(980)721-36-57;active
ЛС-169626335;2025-11;Домашний-100;708.87;708.87;-539.16;2025-11-14;537685507896;+7(980)721-36-57;active
ЛС-169626335;2025-12;Домашний-100;693.56;693.56;-539.16;2025-12-03;537685507896;+7(980)721-36-57;active
ЛС-164387875;2025-10;Домашний-100;666.55;666.55;0.0;2025-10-17;889307464520;+7(950)805-82-86;active
ЛС-164387875;2025-11;Домашний-100;630.84;0.0;-630.84;;889307464520;+7(950)805-82-86;active
ЛС-164387875;2025-12;Домашний-100;659.78;324.91;-965.71;2025-12-12;889307464520;+7(950)805-82-86;active
ЛС-618214565;2025-10;Корпоративный+;53290.95;53290.95;0.0;2025-10-01;8125521376;+7(903)351-70-53;active
ЛС-618214565;2025-11;Корпоративный+;57057.24;57057.24;0.0;2025-11-13;8125521376;+7(903)351-70-53;active
ЛС-618214565;2025-12;Корпоративный+;68756.43;68756.43;0.0;2025-12-13;8125521376;+7(903)351-70-53;active
ЛС-613286326;2025-10;Корпоративный+;61446.95;61446.95;0.0;2025-10-22;8125521376;+7(903)351-70-53;closed
ЛС-613286326;2025-11;Корпоративный+;55202.3;27932.18;-27270.12;2025-11-12;8125521376;+7(903)351-70-53;closed
ЛС-613286326;2025-12;Корпоративный+;75198.88;30232.93;-72236.07;2025-12-05;8125521376;+7(903)351-70-53;closed
ЛС-616678507;2025-10;Корпоративный+;50348.08;50348.08;0.0;2025-10-05;8125521376;+7(903)351-70-53;active
ЛС-616678507;2025-11;Корпоративный+;71640.18;71640.18;0.0;2025-11-14;8125521376;+7(903)351-70-53;active
ЛС-616678507;2025-12;Корпоративный+;79249.25;0.0;-79249.25;2025-08-26;8125521376;+7(903)351-70-53;active
ЛС-786974995;2025-10;Корпоративный;34066.44;34066.44;0.0;2025-10-06;2941680061;+7 903 275 93 71;active
ЛС-786974995;2025-11;Корпоративный;31815.92;31815.92;0.0;2025-11-27;2941680061;+7 903 275 93 71;active
ЛС-786974995;2025-12;Корпоративный;31750.69;31750.69;0.0;2025-12-06;2941680061;+7 903 275 93 71;active
ЛС-786412203;2025-10;Корпоративный;31371.58;39343.0;7971.42;2025-10-24;2941680061;+7(903)275-93-71;closed
ЛС-786412203;2025-11;Корпоративный;28551.25;28551.25;7971.42;2025-11-14;2941680061;+7(903)275-93-71;closed
ЛС-786412203;2025-12;Корпоративный;38898.47;38898.47;7971.42;2025-12-02;2941680061;+7(903)275-93-71;closed
ЛС-781030372;2025-10;Корпоративный;39673.5;39673.5;0.0;2025-10-23;2941680061;+7(903)275-93-71;active
ЛС-781030372;2025-11;Корпоративный;30528.68;30528.68;0.0;2025-11-23;2941680061;+7(903)275-93-71;active
ЛС-781030372;2025-12;Корпоративный;26200.95;26200.95;0.0;2025-12-17;2941680061;+7(903)275-93-71;active
ЛС-783683147;2025-10;Корпоративный;31974.04;1696.79;-30277.25;2025-10-16;2941680061;7903275-93-71;active
ЛС-783683147;2025-11;Корпоративный;34459.94;34459.94;-30277.25;2025-11-22;2941680061;7903275-93-71;active
ЛС-783683147;2025-12;Корпоративный;26171.23;26171.23;-30277.25;2025-12-26;2941680061;7903275-93-71;active
ЛС-523539613;2025-10;Бизнес-100;4159.26;4159.26;0.0;2025-10-11;2678112669;+7(909)859-31-18;active
ЛС-523539613;2025-11;Бизнес-100;4070.07;5016.27;946.2;2025-11-16;2678112669;+7(909)859-31-18;active
ЛС-523539613;2025-12;Бизнес-100;4147.93;4147.93;946.2;2025-12-12;2678112669;+7(909)859-31-18;active
ЛС-526749946;2025-10;Бизнес-100;3578.42;5232.38;1653.96;2025-10-24;2678112669;7909859-31-18;active
ЛС-526749946;2025-11;Бизнес-100;3608.14;3608.14;1653.96;2025-11-09;2678112669;7909859-31-18;active
ЛС-526749946;2025-12;Бизнес-100;3122.84;3122.84;1653.96;2025-12-06;2678112669;7909859-31-18;active
ЛС-525796784;2025-10;Бизнес-100;4145.72;4145.72;0.0;2025-10-10;2678112669;+7(909)859-31-18;active
ЛС-525796784;2025-11;Бизнес-100;4617.79;4617.79;0.0;2025-11-10;2678112669;+7(909)859-31-18;active
ЛС-525796784;2025-12;Бизнес-100;3969.52;0.0;-3969.52;2025-05-05;2678112669;+7(909)859-31-18;active
ЛС-665140105;2025-10;Корпоративный;34236.97;34236.97;0.0;2025-10-09;2254573875;+7(981)199-66-99;active
ЛС-665140105;2025-11;Корпоративный;25213.05;0.0;-25213.05;2025-03-22;2254573875;+7(981)199-66-99;active
ЛС-665140105;2025-12;Корпоративный;31699.8;31699.8;-25213.05;2025-12-09;2254573875;+7(981)199-66-99;active
ЛС-661238282;2025-10;Корпоративный;36737.92;36737.92;0.0;2025-10-06;2254573875;+7(981)199-66-99;active
ЛС-661238282;2025-11;Корпоративный;36990.58;36990.58;0.0;2025-11-11;2254573875;+7(981)199-66-99;active
ЛС-661238282;2025-12;Корпоративный;39761.07;39761.07;0.0;2025-12-20;2254573875;+7(981)199-66-99;active
ЛС-665867362;2025-10;Корпоративный;39009.13;23255.35;-15753.78;2025-10-25;2254573875;+7(981)199-66-99;active
ЛС-665867362;2025-11;Корпоративный;30747.5;30747.5;-15753.78;2025-11-24;2254573875;+7(981)199-66-99;active
ЛС-665867362;2025-12;Корпоративный;34563.62;34563.62;-15753.78;2025-12-24;2254573875;+7(981)199-66-99;active
ЛС-662660937;2025-10;Корпоративный;37627.5;0.0;-37627.5;2025-01-06;2254573875;+7(981)199-66-99;active
ЛС-662660937;2025-11;Корпоративный;31960.22;31960.22;-37627.5;2025-11-16;2254573875;+7(981)199-66-99;active
ЛС-662660937;2025-12;Корпоративный;36192.26;36192.26;-37627.5;2025-12-18;2254573875;+7(981)199-66-99;active
ЛС-665814876;2025-10;Бизнес-500;8934.65;8934.65;0.0;2025-10-13;1171577245;+7(910)620-23-61;active
ЛС-665814876;2025-11;Бизнес-500;9898.36;70.45;-9827.91;2025-11-26;1171577245;+7(910)620-23-61;active
ЛС-665814876;2025-12;Бизнес-500;9795.28;9795.28;-9827.91;2025-12-17;1171577245;+7(910)620-23-61;active
ЛС-787650471;2025-10;Домашний-100;686.58;1002.19;315.61;2025-10-21;989594703969;+7(961)390-51-36;suspended
ЛС-787650471;2025-11;Домашний-100;620.77;620.77;315.61;2025-11-20;989594703969;+7(961)390-51-36;suspended
ЛС-787650471;2025-12;Домашний-100;733.61;733.61;315.61;2025-12-11;989594703969;+7(961)390-51-36;suspended
ЛС-660432611;2025-10;Домашний-500;1306.84;306.71;-1000.13;2025-10-25;198726496322;7951180-73-48;active
ЛС-660432611;2025-11;Домашний-500;1470.12;1470.12;-1000.13;2025-11-22;198726496322;7951180-73-48;active
ЛС-660432611;2025-12;Домашний-500;1435.49;594.53;-1841.09;2025-12-06;198726496322;7951180-73-48;active
ЛС-544134750;2025-10;Всё включено;2019.29;2047.87;28.58;2025-10-03;822981209957;+7(960)428-66-32;active
ЛС-544134750;2025-11;Всё включено;1808.37;0.0;-1779.79;;822981209957;+7(960)428-66-32;active
ЛС-544134750;2025-12;Всё включено;1953.59;1953.59;-1779.79;2025-12-07;822981209957;+7(960)428-66-32;active
ЛС-545896359;2025-10;Игровой;1417.02;1417.02;0.0;2025-10-02;746129390025;+7(909)239-24-36;active
ЛС-545896359;2025-11;Игровой;1869.25;1869.25;0.0;2025-11-27;746129390025;+7(909)239-24-36;active
ЛС-545896359;2025-12;Игровой;1508.41;1508.41;0.0;2025-12-04;746129390025;+7(909)239-24-36;active
ЛС-542757454;2025-10;Домашний-100;691.62;53.91;-637.71;2025-10-22;337597953192;+7(960)142-16-89;closed
ЛС-542757454;2025-11;Домашний-100;702.77;702.77;-637.71;2025-11-26;337597953192;+7(960)142-16-89;closed
ЛС-542757454;2025-12;Домашний-100;743.43;743.43;-637.71;2025-12-23;337597953192;+7(960)142-16-89;closed
ЛС-783796868;2025-10;Домашний-500;1273.71;1273.71;0.0;2025-10-22;523622033474;+7(915)371-62-36;active
ЛС-783796868;2025-11;Домашний-500;1574.47;1574.47;0.0;2025-11-09;523622033474;+7(915)371-62-36;active
ЛС-783796868;2025-12;Домашний-500;1507.74;1507.74;0.0;2025-12-22;523622033474;+7(915)371-62-36;active
ЛС-614143842;2025-10;Корпоративный;28860.05;28860.05;0.0;2025-10-09;3268018242;7915430-38-54;active
ЛС-614143842;2025-11;Корпоративный;36656.59;36656.59;0.0;2025-11-11;3268018242;7915430-38-54;active
ЛС-614143842;2025-12;Корпоративный;39939.38;39939.38;0.0;2025-12-27;3268018242;7915430-38-54;active
ЛС-614981829;2025-10;Корпоративный;28969.97;28969.97;0.0;2025-10-16;3268018242;+7(915)430-38-54;active
ЛС-614981829;2025-11;Корпоративный;39691.33;39691.33;0.0;2025-11-13;3268018242;+7(915)430-38-54;active
ЛС-614981829;2025-12;Корпоративный;27676.63;27676.63;0.0;2025-12-05;3268018242;+7(915)430-38-54;active
ЛС-619229959;2025-10;Корпоративный;33109.48;33109.48;0.0;2025-10-20;3268018242;+7(915)430-38-54;active
ЛС-619229959;2025-11;Корпоративный;34650.07;34650.07;0.0;2025-11-23;3268018242;+7(915)430-38-54;active
ЛС-619229959;2025-12;Корпоративный;28884.94;30170.38;1285.44;2025-12-24;3268018242;+7(915)430-38-54;active
ЛС-610010943;2025-10;Корпоративный;28758.95;28758.95;0.0;2025-10-16;3268018242;+7(915)430-38-54;active
ЛС-610010943;2025-11;Корпоративный;27232.81;27232.81;0.0;2025-11-02;3268018242;+7(915)430-38-54;active
ЛС-610010943;2025-12;Корпоративный;34969.09;34969.09;0.0;2025-12-23;3268018242;+7(915)430-38-54;active
ЛС-619690784;2025-10;Корпоративный;29947.46;29947.46;0.0;2025-10-01;3268018242;+7(915)430-38-54;active
ЛС-619690784;2025-11;Корпоративный;32730.75;32730.75;0.0;2025-11-16;3268018242;+7(915)430-38-54;active
ЛС-619690784;2025-12;Корпоративный;32172.09;32172.09;0.0;2025-12-24;3268018242;+7(915)430-38-54;active
ЛС-546643203;2025-10;Всё включено;2346.66;2346.66;0.0;2025-10-18;983571921496;+7(981)683-21-42;closed
ЛС-546643203;2025-11;Всё включено;1958.09;1958.09;0.0;2025-11-23;983571921496;+7(981)683-21-42;closed
ЛС-546643203;2025-12;Всё включено;2372.58;2372.58;0.0;2025-12-19;983571921496;+7(981)683-21-42;closed
ЛС-789358895;2025-10;Домашний-100;657.06;657.06;0.0;2025-10-11;159556574902;+7(951)145-47-29;suspended
ЛС-789358895;2025-11;Домашний-100;686.37;686.37;0.0;2025-11-21;159556574902;+7(951)145-47-29;suspended
ЛС-789358895;2025-12;Домашний-100;749.4;749.4;0.0;2025-12-12;159556574902;+7(951)145-47-29;suspended
ЛС-522175626;2025-10;Домашний-300;960.39;960.39;0.0;2025-10-03;769100822421;+7(960)648-28-63;active
ЛС-522175626;2025-11;Домашний-300;1052.35;1052.35;0.0;2025-11-10;769100822421;+7(960)648-28-63;active
ЛС-522175626;2025-12;Домашний-300;994.34;0.0;-994.34;;769100822421;+7(960)648-28-63;active
ЛС-613979842;2025-10;Игровой;1549.44;1549.44;0.0;2025-10-04;574705311058;89167904111;active
ЛС-613979842;2025-11;Игровой;1715.31;1715.31;0.0;2025-11-03;574705311058;89167904111;active
ЛС-613979842;2025-12;Игровой;1842.61;1842.61;0.0;2025-12-07;574705311058;89167904111;active
ЛС-527468723;2025-10;Бизнес-100;3279.89;1166.88;-2113.01;2025-10-16;1132677360;;active
ЛС-527468723;2025-11;Бизнес-100;3777.54;3777.54;-2113.01;2025-11-21;1132677360;;active
ЛС-527468723;2025-12;Бизнес-100;3615.46;3615.46;-2113.01;2025-12-27;1132677360;;active
ЛС-524309805;2025-10;Бизнес-100;4623.56;4623.56;0.0;2025-10-01;1132677360;+7(915)488-10-59;active
ЛС-524309805;2025-11;Бизнес-100;3074.09;78.97;-2995.12;2025-11-04;1132677360;+7(915)488-10-59;active
ЛС-524309805;2025-12;Бизнес-100;3423.36;3423.36;-2995.12;2025-12-17;1132677360;+7(915)488-10-59;active
ЛС-520097882;2025-10;Бизнес-100;3916.74;3916.74;0.0;2025-10-28;1132677360;+7(915)488-10-59;active
ЛС-520097882;2025-11;Бизнес-100;4073.12;4073.12;0.0;2025-11-08;1132677360;+7(915)488-10-59;active
ЛС-520097882;2025-12;Бизнес-100;4849.63;5234.59;384.96;2025-12-21;1132677360;+7(915)488-10-59;active
ЛС-546203036;2025-10;Бизнес-500;9884.88;9884.88;0.0;2025-10-02;8230848100;89096574723;active
ЛС-546203036;2025-11;Бизнес-500;8970.73;8970.73;0.0;2025-11-01;8230848100;89096574723;active
ЛС-546203036;2025-12;Бизнес-500;8689.0;10084.41;1395.41;2025-12-26;8230848100;89096574723;active
ЛС-546254361;2025-10;Бизнес-500;9824.74;4820.8;-5003.94;2025-10-04;8230848100;89096574723;active
ЛС-546254361;2025-11;Бизнес-500;8456.72;8456.72;-5003.94;2025-11-20;8230848100;89096574723;active
ЛС-546254361;2025-12;Бизнес-500;8882.29;8882.29;-5003.94;2025-12-14;8230848100;89096574723;active
ЛС-547213145;2025-10;Бизнес-500;9349.37;9349.37;0.0;2025-10-24;8230848100;+7(909)657-47-23;active
ЛС-547213145;2025-11;Бизнес-500;10713.59;10713.59;0.0;2025-11-22;8230848100;+7(909)657-47-23;active
ЛС-547213145;2025-12;Бизнес-500;10303.87;4903.21;-5400.66;2025-12-25;8230848100;+7(909)657-47-23;active
ЛС-541951510;2025-10;Бизнес-500;10372.34;10372.34;0.0;2025-10-04;8230848100;89096574723;closed
ЛС-541951510;2025-11;Бизнес-500;9095.57;9095.57;0.0;2025-11-06;8230848100;89096574723;closed
ЛС-541951510;2025-12;Бизнес-500;10785.18;10785.18;0.0;2025-12-15;8230848100;89096574723;closed
ЛС-549226859;2025-10;Бизнес-500;8974.58;8974.58;0.0;2025-10-05;8230848100;+7(909)657-47-23;active
ЛС-549226859;2025-11;Бизнес-500;8399.87;8399.87;0.0;2025-11-20;8230848100;+7(909)657-47-23;active
ЛС-549226859;2025-12;Бизнес-500;9504.52;460.34;-9044.18;2025-12-01;8230848100;+7(909)657-47-23;active
ЛС-786342346;2025-10;Бизнес-1000;15897.06;8459.61;-7437.45;2025-10-14;2244731584;+7(980)863-73-65;active
ЛС-786342346;2025-11;Бизнес-1000;18467.52;18467.52;-7437.45;2025-11-16;2244731584;+7(980)863-73-65;active
ЛС-786342346;2025-12;Бизнес-1000;18461.79;18461.79;-7437.45;2025-12-21;2244731584;+7(980)863-73-65;active
ЛС-781994237;2025-10;Бизнес-1000;16354.75;16354.75;0.0;2025-10-08;2244731584;+7(980)863-73-65;active
ЛС-781994237;2025-11;Бизнес-1000;19690.45;19690.45;0.0;2025-11-02;2244731584;+7(980)863-73-65;active
ЛС-781994237;2025-12;Бизнес-1000;17981.36;17981.36;0.0;2025-12-20;2244731584;+7(980)863-73-65;active
ЛС-786769459;2025-10;Бизнес-1000;19751.49;19751.49;0.0;2025-10-26;2244731584;+7(980)863-73-65;suspended
ЛС-786769459;2025-11;Бизнес-1000;16506.0;16506.0;0.0;2025-11-18;2244731584;+7(980)863-73-65;suspended
ЛС-786769459;2025-12;Бизнес-1000;16178.2;928.8;-15249.4;2025-12-12;2244731584;+7(980)863-73-65;suspended
ЛС-781966395;2025-10;Бизнес-1000;19313.66;19313.66;0.0;2025-10-17;2244731584;+7(980)863-73-65;active
ЛС-781966395;2025-11;Бизнес-1000;16096.38;16096.38;0.0;2025-11-22;2244731584;+7(980)863-73-65;active
ЛС-781966395;2025-12;Бизнес-1000;16040.54;0.0;-16040.54;;2244731584;+7(980)863-73-65;active
ЛС-785172084;2025-10;Бизнес-1000;19218.91;19218.91;0.0;2025-10-16;2244731584;+7(980)863-73-65;active
ЛС-785172084;2025-11;Бизнес-1000;15881.62;15881.62;0.0;2025-11-02;2244731584;+7(980)863-73-65;active
ЛС-785172084;2025-12;Бизнес-1000;15270.14;15270.14;0.0;2025-12-07;2244731584;+7(980)863-73-65;active
ЛС-547996673;2025-10;Всё включено;2104.27;2104.27;0.0;2025-10-26;250267551254;+7(915)578-79-33;active
ЛС-547996673;2025-11;Всё включено;2423.06;2423.06;0.0;2025-11-04;250267551254;+7(915)578-79-33;active
ЛС-547996673;2025-12;Всё включено;2318.29;2318.29;0.0;2025-12-06;250267551254;+7(915)578-79-33;active
ЛС-542608788;2025-10;Всё включено;1910.63;2411.79;501.16;2025-10-03;478803318361;;active
ЛС-542608788;2025-11;Всё включено;2426.56;2426.56;501.16;2025-11-19;478803318361;;active
ЛС-542608788;2025-12;Всё включено;2205.83;2205.83;501.16;2025-12-24;478803318361;;active
ЛС-771455616;2025-10;Бизнес-100;4353.71;4353.71;0.0;2025-10-25;2622499982;+7(980)867-84-56;active
ЛС-771455616;2025-11;Бизнес-100;3220.27;3220.27;0.0;2025-11-08;2622499982;+7(980)867-84-56;active
ЛС-771455616;2025-12;Бизнес-100;4475.5;4475.5;0.0;2025-12-13;2622499982;+7(980)867-84-56;active
ЛС-787425859;2025-10;Игровой;1845.68;60.18;-1785.5;2025-10-14;310531611776;+7(980)237-87-91;active
ЛС-787425859;2025-11;Игровой;1472.47;1472.47;-1785.5;2025-11-15;310531611776;+7(980)237-87-91;active
ЛС-787425859;2025-12;Игровой;1489.03;1489.03;-1785.5;2025-12-15;310531611776;+7(980)237-87-91;active
ЛС-548981061;2025-10;Домашний-100;693.96;693.96;0.0;2025-10-09;899052217114;+7(961)909-52-63;suspended
ЛС-548981061;2025-11;Домашний-100;590.44;21.13;-569.31;2025-11-05;899052217114;+7(961)909-52-63;suspended
ЛС-548981061;2025-12;Домашний-100;572.22;572.22;-569.31;2025-12-14;899052217114;+7(961)909-52-63;suspended
ЛС-788449892;2025-10;Бизнес-1000;18801.7;18801.7;0.0;2025-10-10;5530385677;89051409351;active
ЛС-788449892;2025-11;Бизнес-1000;18018.18;18018.18;0.0;2025-11-21;5530385677;89051409351;active
ЛС-788449892;2025-12;Бизнес-1000;19763.8;19763.8;0.0;2025-12-19;5530385677;89051409351;active
ЛС-770580286;2025-10;Домашний-300;1056.5;310.11;-746.39;2025-10-07;848597243871;+7 910 724 54 21;active
ЛС-770580286;2025-11;Домашний-300;977.47;977.47;-746.39;2025-11-09;848597243871;+7 910 724 54 21;active
